Grain	Lithology	LREE	Sr/Y	Age
DC8/11/1b18	LM	309.07	0.247	NA
DC8/11/1b19	LM	350.9	0.230	NA
DC8/11/1b20	LM	619.5	0.264	NA
DC8/11/1b21	LM	621.09	0.333	NA
DC8/11/1b22	LM	393.1	0.250	NA
DC8/11/1b23	LM	362.4	0.232	NA
DC8/11/1b24	LM	336.7	0.253	NA
DC8/11/1b25	LM	447.6	0.256	NA
LT21	LM	165.99	23.996	NA
LT22	LM	203.4	18.339	NA
LT23	LM	38.74	47.418	NA
LT24	LM	108.79	13.656	NA
LT25	LM	112.99	27.083	NA
LT26	LM	113.35	32.689	NA
LT27	LM	55.91	31.293	NA
LT29	LM	42.55	29.426	NA
LT210	LM	33.54	35.245	NA
LT211	LM	213.4	29.247	NA
LT212	LM	56.86	42.161	NA
LT213	LM	239.89	20.023	NA
LT214	LM	98.42	24.266	NA
LT215	LM	19.041	36.958	NA
LT216	LM	196.8	17.358	NA
LT217	LM	13.168	55.405	NA
LT218	LM	220.99	26.163	NA
LT219	LM	188.1	21.291	NA
LT220	LM	136.6	27.021	NA
LT221	LM	76.17	28.786	NA
LT222	LM	98.92	23.664	NA
LT223	LM	121.88	63.664	NA
LT224	LM	194.99	14.116	NA
LT225	LM	79.33	29.027	NA
IH11/13/011	LM	18.706	5.885	NA
IH11/13/012	LM	58.04	0.870	NA
IH11/13/013	LM	49.83	0.962	NA
IH11/13/014	LM	36.39	0.874	NA
IH11/13/015	LM	27.052	1.459	NA
IH11/13/016	LM	37.84	1.703	NA
IH11/13/017	LM	40.82	1.273	NA
IH11/13/018	LM	78.02	0.996	NA
IH11/13/019	LM	255.4	1.329	NA
IH11/13/0110	LM	32	2.537	NA
IH11/13/0111	LM	45.8	1.273	NA
IH11/13/0112	LM	54.28	1.024	NA
IH11/13/0113	LM	54.72	1.063	NA
IH11/13/0114	LM	54.69	0.692	NA
IH11/13/0115	LM	53.6	0.969	NA
IH11/13/0116	LM	50.87	0.954	NA
IH11/13/0117	LM	25.874	3.338	NA
IH11/13/0118	LM	45.58	1.057	NA
IH11/13/0119	LM	32.89	1.304	NA
IH11/13/0120	LM	55.76	1.903	NA
IH11/13/0121	LM	68.44	0.959	NA
IH11/13/0122	LM	54.25	1.798	NA
IH11/13/0123	LM	69.08	1.016	NA
IH11/13/0124	LM	25.56	1.624	NA
IH11/13/0125	LM	84.13	0.678	NA
IH11/13/0126	LM	59.41	1.687	NA
IH11/13/021	LM	29.26	29.098	NA
IH11/13/022	LM	66.26	25.405	NA
IH11/13/023	LM	4.981	15.704	NA
IH11/13/024	LM	43.44	24.507	NA
IH11/13/025	LM	33.2	22.394	NA
IH11/13/026	LM	14.879	34.628	NA
IH11/13/027	LM	11.234	19.179	NA
IH11/13/028	LM	33.49	26.250	NA
IH11/13/029	LM	51.43	28.685	NA
IH11/13/0210	LM	9.653	28.699	NA
IH11/13/0211	LM	6.196	24.391	NA
IH11/13/0212	LM	79.53	16.774	NA
IH11/13/0213	LM	26.38	31.362	NA
IH11/13/0214	LM	54.54	28.882	NA
IH11/13/0215	LM	37.195	29.810	NA
IH11/13/0216	LM	826.7	9.917	NA
IH11/13/0217	LM	91.77	20.225	NA
IH11/13/0218	LM	33.25	33.047	NA
IH11/13/0219	LM	22.84	28.975	NA
IH11/13/0220	LM	8.339	45.977	NA
IH11/13/0221	LM	109.42	16.122	NA
IH11/13/0222	LM	106.4	10.493	NA
IH11/13/041	LM	4.996	8.208	NA
IH11/13/042	LM	6.312	22.567	NA
IH11/13/043	LM	11.062	8.932	NA
IH11/13/044	LM	315.89	0.695	NA
IH11/13/045	LM	3.301	8.403	NA
IH11/13/046	LM	3.79	15.327	NA
IH11/13/047	LM	2.474	8.028	NA
IH11/13/048	LM	2.306	14.146	NA
IH11/13/049	LM	1.534	6.554	NA
IH11/13/0410	LM	11.869	9.895	NA
IH11/13/0411	LM	0.834	9.116	NA
IH11/13/0412	LM	34.17	32.797	NA
IH11/13/0413	LM	5.42	15.091	NA
IH11/13/0414	LM	11.93	11.000	NA
IH11/13/0415	LM	2.526	10.601	NA
IH11/13/0416	LM	23.2	7.105	NA
IH11/13/0417	LM	1.485	5.711	NA
IH11/13/0418	LM	3.107	7.586	NA
IH11/13/0419	LM	9	7.472	NA
IH11/13/0420	LM	18.26	15.772	NA
IH11/13/0421	LM	20.86	14.198	NA
IH11/13/0422	LM	3.277	9.213	NA
IH11/13/051	LM	324.3	2.303	NA
IH11/13/052	LM	280.68	0.903	NA
IH11/13/053	LM	349.4	1.290	NA
IH11/13/054	LM	431.92	1.209	NA
IH11/13/055	LM	279.07	0.554	NA
IH11/13/056	LM	381.82	0.371	NA
IH11/13/057	LM	404.21	0.944	NA
IH11/13/058	LM	367.32	0.231	NA
IH11/13/059	LM	278.04	1.986	NA
IH11/13/0510	LM	337.25	0.642	NA
IH11/13/0511	LM	138.87	0.980	NA
IH11/13/0512	LM	274.65	0.457	NA
IH11/13/0513	LM	388.33	0.489	NA
IH11/13/0514	LM	322.56	0.887	NA
IH11/13/0515	LM	305.61	1.030	NA
IH11/13/0516	LM	372.39	0.997	NA
IH11/13/0517	LM	425.11	2.871	NA
IH11/13/0518	LM	359.18	0.977	NA
IH11/13/0519	LM	342.52	1.304	NA
IH11/13/0520	LM	287.19	0.802	NA
IH11/13/0521	LM	305.28	1.038	NA
IH11/13/0522	LM	259.77	0.638	NA
IH11/13/0523	LM	362.18	0.542	NA
IH11/13/0524	LM	458.4	1.412	NA
IH11/13/0525	LM	291.96	1.346	NA
IH11/13/0526	LM	485.24	0.514	NA
CP11	LM	2.98	66.038	NA
CP12	LM	11.78	31.127	NA
CP13	LM	7.391	14.041	NA
CP14	LM	12.185	17.921	NA
CP15	LM	22.909	11.366	NA
CP16	LM	18.467	10.783	NA
CP17	LM	1.025	47.846	NA
CP18	LM	3.602	32.342	NA
CP19	LM	1.775	44.892	NA
CP110	LM	7.092	33.627	NA
CP111	LM	17.09	8.127	NA
CP112	LM	13.706	7.455	NA
CP113	LM	2.024	28.201	NA
Jiuzhou	S	3198	0.018	NA
Taima	S	4805	0.011	NA
PUMai1	S	2916	0.015	NA
PUMai2	S	2738	0.016	NA
Nadong1	S	4481	0.009	NA
Nadong2	S	4342	0.005	NA
Nadong3	S	4291	0.004	NA
Fogang1	S	999.4	0.014	NA
Fogang2	S	2894	0.022	NA
Fogang3	S	2174	0.022	NA
Fogang4	S	5239	0.009	NA
Qitianling	S	13011	0.083	NA
Lianyang	S	9184	0.023	NA
Jiufeng1	S	3077	0.142	NA
Jiufeng2	S	5517	0.030	NA
Dadongshan	S	4156	0.027	NA
MG44AP1	S	1054	0.047	NA
MG44AP2	S	1815	0.019	NA
VB230APA1	S	6594	0.014	NA
VB230APB1	S	3430	0.043	NA
BB11AP1	S	953	0.108	NA
CB84AP1	S	1198	0.052	NA
CB144AP1	S	1498	0.077	NA
KB32AP4	S	1561	0.075	NA
SV51AP2	S	3006	0.043	NA
VB1AP5	S	1817	0.042	NA
VB15AP5	S	2053	0.053	NA
VB17AP6	S	1897	0.087	NA
VB26AP2	S	1902	0.013	NA
VB30AP3	S	1552	0.068	NA
VB94AP1	S	1989	0.406	NA
VB140AP6	S	1765	0.038	NA
VB220AP3	S	1916	0.081	NA
VB221AP9	S	1987	0.053	NA
T006C-02.3+4a	S	964.02	0.136	NA
T006C-04.1+2a	S	1301.82	0.115	NA
T006C-06.1	S	1314.87	0.107	NA
T006C-08.1+2a	S	1188.73	0.123	NA
T006C-10.1	S	1383.53	0.110	NA
T006C-11.1+2a	S	1750.47	0.081	NA
T006C-12.1	S	2075.58	0.075	NA
T006C-13.1	S	1398.23	0.093	NA
T006C-14.1	S	1050.12	0.096	NA
T006C-01.2	S	1485.88	0.098	NA
T006C-03.2	S	1729.81	0.092	NA
T006C-04.1	S	1471.77	0.099	NA
T006C-05.2	S	1749.55	0.088	NA
T006C-08.2	S	1810.08	0.076	NA
T048C-48.1+2a	S	1623.36	0.012	NA
T048C-51.1+2a	S	1577.02	0.012	NA
T048C-54.1+2a	S	1531.64	0.012	NA
T048C-56.1+2a	S	1588.25	0.010	NA
T048C-59.1+2a	S	1286.87	0.014	NA
T048C-64.1+2a	S	1631.28	0.012	NA
T048C-68.1+2a	S	1642.67	0.012	NA
T048C-70.1+2a	S	1609.15	0.012	NA
T048C-71.1+2a	S	1596.27	0.012	NA
T048C-74.1+2	S	1730.12	0.012	NA
T048C-75.1	S	1574.41	0.011	NA
T048C-77.1	S	1665.77	0.012	NA
T125A-01.1+2a	S	1677.77	0.043	NA
T125A-02.1+2a	S	1640.42	0.052	NA
T125A-06.2	S	1492.51	0.046	NA
T125A-09	S	1878.43	0.040	NA
T125A-10	S	2027.82	0.038	NA
T125A-12	S	2257.82	0.031	NA
T125A-14.2	S	1949.88	0.038	NA
T138A-01.1+2a	S	2515.66	0.017	NA
T138A-03.1	S	2978.67	0.018	NA
T138A-04	S	1783.27	0.028	NA
T138A-08.1+2a	S	1685.54	0.028	NA
T138A-13	S	3300.84	0.018	NA
T138A-18	S	2829.43	0.017	NA
T138A-21.2	S	1070.79	0.038	NA
T170A-03	S	3421.07	0.008	NA
T170A-05	S	3432.7	0.008	NA
T170A-06	S	3181.54	0.011	NA
T170A-09	S	4403.92	0.007	NA
T170A-13	S	3193.65	0.010	NA
T170A-17	S	3689.47	0.010	NA
T170A-19	S	4999.73	0.029	NA
T172A-01	S	2848.46	0.013	NA
T172A-02	S	2421.34	0.016	NA
T172A-05.2	S	2899.09	0.012	NA
T172A-08	S	3229.3	0.014	NA
T172A-12	S	2319.87	0.014	NA
T172A-15	S	3283.6	0.030	NA
BM901	UM	3269	36.444	NA
BM650	UM	9153	84.018	NA
BM655	UM	10114	111.524	NA
BM632	UM	9938	130.342	NA
LE15B	UM	6116	52.563	NA
ASK10	UM	4101	153.226	NA
66AHR	UM	2368	44.147	NA
FB1	UM	4420	20.625	NA
K	UM	5075	30.153	NA
K24	UM	3753	25.177	NA
K30A	UM	1363	32.120	NA
Ef1	UM	5724	19.778	NA
AKMeg1	UM	3238	40.345	NA
Carbo1	UM	8204.8	22.857	NA
Carbo2	UM	13949.9	12.251	NA
Carbo3	UM	20533.7	7.799	NA
Carbo4	UM	16858.9	16.724	NA
Carbo5	UM	7071.1	10.091	NA
Carbo6	UM	2560.5	23.809	NA
Carbo7	UM	3689.1	24.068	NA
Carbo8	UM	4940.9	18.673	NA
Carbo9	UM	7030.7	38.170	NA
Carbo10	UM	3367.3	41.897	NA
Carbo11	UM	12156.7	27.584	NA
Carbo12	UM	4468.7	21.885	NA
Carbo14	UM	8240.6	17.934	NA
Carbo15	UM	7436	18.017	NA
Carbo16	UM	4747.1	34.130	NA
Carbo17	UM	5566	18.530	NA
Carbo18	UM	1085.8	19.099	NA
Carbo19	UM	19068.9	31.048	NA
Carbo20	UM	3890.3	29.049	NA
Carbo21	UM	12383.4	8.932	NA
Carbo22	UM	5185.7	29.067	NA
Carbo23	UM	4296.3	41.272	NA
Carbo24	UM	1004.2	68.475	NA
Carbo25	UM	5207	34.445	NA
Carbo26	UM	3796.5	207.716	NA
Carbo27	UM	10513.2	179.831	NA
FE1-7	UM	5767.173148	43.708	NA
FE1-6	UM	5564.206385	39.729	NA
P2-036-1	UM	10809.6607	19.192	NA
P2-036-2	UM	11098.5924	18.086	NA
NL-203A-1	UM	4025.084554	74.679	NA
NL-203A-2	UM	3717.386522	76.145	NA
LAC5-1	UM	12180.3741	45.285	NA
LAC5-2	UM	13413.37664	36.258	NA
BB-35-11	UM	2537.919667	19.245	NA
BB-35-10	UM	2515.152615	17.280	NA
P21A\64.8-12	UM	8836.716422	26.199	NA
P21A\64.8-11	UM	8752.374201	24.717	NA
STH-104-1	UM	5141.29618	41.036	NA
STH-104-2	UM	5936.54694	40.779	NA
BI-101-11	UM	7295.469412	36.680	NA
BI-101-10	UM	12778.6993	18.185	NA
CI-100-1	UM	9146.499901	98.265	NA
CI-100-3	UM	9092.018122	91.106	NA
II-102-1	UM	5101.79707	61.721	NA
II-102-3	UM	4324.017546	71.331	NA
951-9-12	UM	2008.733841	46.903	NA
951-9-11	UM	2065.097003	55.870	NA
MC-115-6	UM	4764.715239	9.581	NA
MC-115-3	UM	4136.840597	10.307	NA
CH-T2-5	UM	40081.70357	9.295	NA
CH-T2-6	UM	37298.71624	8.289	NA
J14-3	UM	1502.98296	71.351	NA
J14-4	UM	1515.403727	50.846	NA
L4-242-8	UM	5848.897557	11.160	NA
L4-242-7	UM	3952.42761	13.621	NA
4-74D-2	UM	3322.620644	12.897	NA
4-74D-4	UM	3140.905609	14.822	NA
Kov783\141-2	UM	12965.69161	17.333	NA
Kov783\141-4	UM	12159.24416	17.897	NA
C-18-30-1a	UM	908.2648603	58.803	NA
C-18-30-1b	UM	849.4198631	52.740	NA
C-18-30-2a	UM	961.8565208	44.888	NA
C-18-30-2b	UM	1050.848351	43.047	NA
951-9-1	UM	2041.419702	46.349	NA
AB3\Z92.3-1	UM	6090.90258	27.169	NA
AB3\Z92.3-2	UM	6690.930064	20.885	NA
H2-61-1	UM	4022.461612	35.293	NA
H2-61-2	UM	3977.024023	33.388	NA
BO-203-2	UM	3171.736714	22.654	NA
BO-203-6	UM	2472.555445	29.262	NA
G2\1201.4-2	UM	6067.840534	8.836	NA
G2\1201.4-3	UM	4968.941356	10.314	NA
CCM26\195.85-3	UM	3123.028746	24.946	NA
CCM26\195.85-4	UM	3131.805808	23.692	NA
154\2-1	UM	6158.093605	35.684	NA
154\2-2	UM	4213.707254	40.880	NA
158\25-1	UM	2587.688244	50.496	NA
158\25-2	UM	4589.22577	33.662	NA
4-ALV-1	UM	5593.174814	21.159	NA
4-ALV-2	UM	6554.952353	17.854	NA
Sil106-3	UM	3993.282258	77.241	NA
Sil106-4	UM	3148.621181	80.682	NA
DOD-77-3a	UM	4492.402137	18.833	NA
DOD-77-3b	UM	4423.207023	18.143	NA
DOD-77-5	UM	3790.492822	18.970	NA
LSC-65-3	UM	18462.51016	35.873	NA
LSC-65-5	UM	19445.19846	42.116	NA
LSC-7912-2	UM	23615.84918	36.853	NA
LSC-7912-3	UM	20732.73202	51.155	NA
HC-Car-1	UM	5028.202361	14.337	NA
HC-Car-2	UM	5379.967563	13.864	NA
HC-Car-3	UM	5321.221417	13.827	NA
HC-Car-4	UM	5309.0525	13.906	NA
HC-Car-5	UM	5466.029017	13.833	NA
HC-Car-6	UM	5229.348894	13.550	NA
HC-Car-7	UM	5049.064458	13.778	NA
HC-Car-8	UM	5157.055483	14.044	NA
HC-Car-9	UM	5306.550063	13.676	NA
